product_id,product_name,product_ref,product_price,data_scrapy
11909019,Levi's, Men's Skinny Tapered Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12592658,GUESS, Men's Slim Straight Jeans,$89.00,2022-04-06 20:43:18
12030051,Buffalo David Bitton, Men's Slim Ash Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
11664825,Levi's, Men's 505 Regular Eco Ease Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12030045,Buffalo David Bitton, Men's Skinny Max Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
12539420,Silver Jeans Co., Men's Zac Relaxed Fit Straight Leg Jeans,$94.00,2022-04-06 20:43:18
12030049,Buffalo David Bitton, Men's Slim Ash Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
12038317,Lazer, Men's Comfort Flex Short,"$29.50
		                                                                                    



Sale $22.13",2022-04-06 20:43:18
11525115,Levi's, Men's 514 Straight Fit Eco Performance Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12542941,And Now This, Men's Straight-Fit Stretch Jeans,"$49.50
		                                                                                    



Sale $34.65",2022-04-06 20:43:18
12441301,And Now This, Men's Skinny-Fit Stretch Jeans,"$49.50
		                                                                                    



Sale $34.65",2022-04-06 20:43:18
12539424,Silver Jeans Co., Men's Gordie Loose Fit Straight Leg Jeans,$88.00,2022-04-06 20:43:18
11374876,Levi's, Levi’s Western Fit Stretch Cowboy Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
13707007,Tommy Hilfiger, Men's TH FLEX Relaxed Tapered Fit Jeans,$79.50,2022-04-06 20:43:18
12035557,Lazer, Men's Slim-Fit Stretch Jean,"$48.00
		                                                                                    



Now $18.93",2022-04-06 20:43:18
12035556,Lazer, Men's Slim-Fit Stretch Jean,"$39.50
		                                                                                    



Sale $29.63",2022-04-06 20:43:18
12329857,Levi's, Men's 505 Regular Fit Eco Performance Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12201941,Polo Ralph Lauren, Men's Varick Slim Straight Jeans,$125.00,2022-04-06 20:43:18
12626282,Buffalo David Bitton, Men's Skinny Max Dark Wash Jeans,"$99.00
		                                                                                    



Now $59.40",2022-04-06 20:43:18
12030046,Buffalo David Bitton, Men's Relaxed Tapered Ben Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
14176238,RON TOMSON, Men's Modern Embroidered Denim Jeans,$220.00,2022-04-06 20:43:18
13105131,Hugo Boss, BOSS Men's Skinny-Fit Super-Stretch Jeans,"$158.00
		                                                                                    



Now $110.00",2022-04-06 20:43:18
13363940,Wrangler, Men's Weather Anything Legacy Straight Fit Jeans,"$54.00
		                                                                                    



Sale $40.50",2022-04-06 20:43:18
13059612,X-Ray, Men's Stretch Moto Jeans,$68.00,2022-04-06 20:43:18
11326283,Levi's, Men's 505™ Workwear Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
13007268,Hugo Boss, BOSS Men's Slim-Fit Comfort-Stretch Jeans,"$178.00
		                                                                                    



Now $120.00",2022-04-06 20:43:18
12258717,Levi's, Men's 501 93 Fit Straight Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12917351,Hugo Boss, BOSS Men's Slim-Fit Cashmere Jeans,"$178.00
		                                                                                    



Now $120.00",2022-04-06 20:43:18
12539419,Silver Jeans Co., Men's Grayson Easy Fit Straight Leg Jeans,$88.00,2022-04-06 20:43:18
13407452,Calvin Klein, Men's Standards Relaxed-Fit Marble-Dyed Deck Jeans,$128.00,2022-04-06 20:43:18
13306773,GUESS, Men's Originals Slim Straight Jeans,"$89.00
		                                                                                    



Sale $61.99",2022-04-06 20:43:18
12322102,Hugo Boss, BOSS Men's Regular-Fit Jeans,"$198.00
		                                                                                    



Now $135.00",2022-04-06 20:43:18
12190793,Levi's, Men's 505™ Regular Fit Straight Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12542942,And Now This, Men's Straight-Fit Stretch Jeans,"$49.50
		                                                                                    



Sale $34.65",2022-04-06 20:43:18
11506507,DKNY," Men's Bedford Slim, Straight Jeans ","$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
11910480,GUESS, Men's Slim Tapered Jeans,$98.00,2022-04-06 20:43:18
10676398,INC International Concepts," Men's Rockford Boot Cut Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
10676399,INC International Concepts," Men's Seaton Boot Cut Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
12592673,GUESS, Men's Coated Skinny Jeans,$98.00,2022-04-06 20:43:18
13407198,Hugo Boss, BOSS Men's Grey-Cast Slim-Fit Jeans,$158.00,2022-04-06 20:43:18
12666241,Levi's, Men's Big & Tall 505 Work Wear Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
10676403,INC International Concepts," Men's Slim Straight-Leg Jeans, Created for Macy's ","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
11559215,Polo Ralph Lauren, Men's Sullivan Slim Stretch Jeans,$98.50,2022-04-06 20:43:18
12272886,Lazer, Men's Comfort Flex Short,"$29.50
		                                                                                    



Sale $22.13",2022-04-06 20:43:18
13104381,Hugo Boss, BOSS Men's Slim-Fit Performance-Stretch Jeans,$178.00,2022-04-06 20:43:18
13823903,COTTON ON, Men's Relaxed Tapered Jeans,$59.99,2022-04-06 20:43:18
14176237,RON TOMSON, Men's Modern Embroidered Denim Jeans,$220.00,2022-04-06 20:43:18
14176209,RON TOMSON, Men's Modern Alien Denim Jeans,$180.00,2022-04-06 20:43:18
11958892,Wrangler, Men's Weather Anything Regular Tapered Fit Jean,"$54.00
		                                                                                    



Sale $40.50",2022-04-06 20:43:18
11806146,Lucky Brand, Men's 223 Harrison Straight Fit Jeans,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
11531325,Lazer, Men's Slim-Fit Stretch Jeans,"$39.50
		                                                                                    



Sale $29.63",2022-04-06 20:43:18
7768732,Lucky Brand, Men's 363 Vintage Like Straight Stretch Jean,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
12675443,True Religion, Men's Geno Slim Fit Jean,"$179.00
		                                                                                    



Now $107.40",2022-04-06 20:43:18
14176240,RON TOMSON, Men's Modern Swiped Denim Jeans,$190.00,2022-04-06 20:43:18
13069328,Jack & Jones, Men's Eddie Original Light Wash Jeans,"$69.50
		                                                                                    



Sale $41.70",2022-04-06 20:43:18
10903943,INC International Concepts," Men's Slim Straight Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
11319506,Levi's, Men's 511™ Slim All Season Tech Jeans,"$69.50
		                                                                                    


Sale $41.70 
- 48.65",2022-04-06 20:43:18
12592657,GUESS, Men's Faded Slim Tapered Jeans,$98.00,2022-04-06 20:43:18
12838547,True Religion, Men's Destruction Geno Slim Fit Jeans,"$179.00
		                                                                                    



Sale $125.30",2022-04-06 20:43:18
10903941,INC International Concepts," Men's Black Wash Skinny Jeans, Created for Macy's ","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
11665506,Tommy Bahama, Men's Boracay Vintage-Fit Stretch Jeans,"$138.00
		                                                                                    



Now $82.80",2022-04-06 20:43:18
12666239,Levi's, Men's Big & Tall Western Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
13632918,HDSN, Men's Zev Skinny Jeans,"$139.00
		                                                                                    



Sale $104.25",2022-04-06 20:43:18
10676400,INC International Concepts," Men's Grey Skinny Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
13632786,Earnest Sewn, Men's Bryan Slouchy Slim Denim Jeans,"$119.00
		                                                                                    



Sale $89.25",2022-04-06 20:43:18
13640540,Hugo Boss, BOSS Men's Slim-Fit Jeans,$178.00,2022-04-06 20:43:18
10676405,INC International Concepts," Men's Slim Straight Core Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
14193742,COTTON ON, Men's Super Skinny Jeans,$49.99,2022-04-06 20:43:18
13632922,HDSN, Men's Banks Biker Jeans,"$159.00
		                                                                                    



Sale $119.25",2022-04-06 20:43:18
12592656,GUESS, Men's Regular Straight Faded Jeans,$98.00,2022-04-06 20:43:18
13640446,Hugo Boss, BOSS Men's Slim-Fit Jeans,$198.00,2022-04-06 20:43:18
13640444,Hugo Boss, BOSS Men's Slim-Fit Jeans,$178.00,2022-04-06 20:43:18
11559231,Polo Ralph Lauren, Men's Sullivan Slim Stretch Jeans,$98.50,2022-04-06 20:43:18
11921521,Silver Jeans Co., Men's Eddie Relaxed Fit Tapered Leg Jean,"$99.00
		                                                                                    



Now $38.93",2022-04-06 20:43:18
12286749,Silver Jeans Co., Men's Authentic The Relaxed Jeans,$59.00,2022-04-06 20:43:18
12675438,True Religion, Men's Geno Slim Fit Jeans,"$179.00
		                                                                                    



Now $107.40",2022-04-06 20:43:18
12179279,Lucky Brand, Men's 410 Athletic Slim Stretch Jean,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
11966538,COTTON ON, Men's Super Skinny Jeans,$49.99,2022-04-06 20:43:18
13407210,Hugo Boss, BOSS Men's Green-Cast Regular-Fit Jeans,$148.00,2022-04-06 20:43:18
11958894,Wrangler, Men's Weather Anything Regular Tapered Fit Jean,"$54.00
		                                                                                    



Sale $40.50",2022-04-06 20:43:18
10676401,INC International Concepts," Men's Skinny Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
11544384,Tommy Jeans, Tommy Hilfiger Men's Slim-Fit Adam Tapered Jeans,"$69.50
		                                                                                    



Sale $58.99",2022-04-06 20:43:18
11380185,Lazer, Men's Slim-Fit Stretch Jeans,"$39.50
		                                                                                    



Sale $29.63",2022-04-06 20:43:18
12089752,Lazer, Men's Straight-Fit Stretch Jean,"$54.00
		                                                                                    



Now $32.40",2022-04-06 20:43:18
13632799,Earnest Sewn, Men's Bryan Slouchy Slim Denim Jeans,$119.00,2022-04-06 20:43:18
14176224,RON TOMSON, Men's Modern Sepia Denim Jeans,$180.00,2022-04-06 20:43:18
12980583,Lucky Brand, Men's 223 Straight Coolmax Stretch Jeans,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
12873005,True Religion, Men's Ricky Flap with Destroy Straight Fit Jeans,"$179.00
		                                                                                    



Sale $125.30",2022-04-06 20:43:18
11305085,Levi's, Levi’s® Flex Men's 512™ Slim Taper Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12935377,Hugo Boss, BOSS Men's Slim-Fit Jeans,"$198.00
		                                                                                    



Now $135.00",2022-04-06 20:43:18
10577628,Levi's, Men's 501 '93 Fit Straight Jeans,"$69.50
		                                                                                    


Sale $41.70 
- 48.65",2022-04-06 20:43:18
13078438,Hugo Boss, BOSS Men's Slim-Fit Jeans,"$178.00
		                                                                                    



Now $120.00",2022-04-06 20:43:18
14176232,RON TOMSON, Men's Modern Splat Denim Jeans,$170.00,2022-04-06 20:43:18
14176231,RON TOMSON, Men's Modern Oiled Denim Jeans,$170.00,2022-04-06 20:43:18
13059598,X-Ray, Men's Stretch 5 Pocket Ultra Skinny Jeans,$68.00,2022-04-06 20:43:18
12834808,Heroes Motors, Men's Slim-Straight Fit Jeans,"$119.00
		                                                                                    



Sale $71.40",2022-04-06 20:43:18
13632798,Earnest Sewn, Men's Dean Skinny Denim Jeans,$99.00,2022-04-06 20:43:18
11625981,Lucky Brand, Men's 363 Straight Fit Jeans,"$129.00
		                                                                                    



Sale $96.75",2022-04-06 20:43:18
11783469,Levi's, Men's Tapered Carpenter Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12539213,Silver Jeans Co., Men's Craig Bootcut Jeans,$94.00,2022-04-06 20:43:18
10676406,INC International Concepts," Men's Tapered Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
13651837,Hugo Boss, BOSS Men's Tapered-Fit Overdyed Jeans,$178.00,2022-04-06 20:43:18
11958895,Wrangler, Men's Weather Anything Regular Tapered Fit Jean,"$54.00
		                                                                                    



Sale $40.50",2022-04-06 20:43:18
13407190,Hugo Boss, BOSS Men's Dark-Blue Regular-Fit Jeans,$178.00,2022-04-06 20:43:18
13407191,Hugo Boss, BOSS Men's Dark-Blue Slim-Fit Jeans,$178.00,2022-04-06 20:43:18
13078430,Hugo Boss, BOSS Men's Regular-Fit Jeans,"$178.00
		                                                                                    



Now $120.00",2022-04-06 20:43:18
12161951,Lazer, Men's Straight-Fit Stretch Jean,"$48.00
		                                                                                    



Now $28.80",2022-04-06 20:43:18
13476692,COTTON ON, Men's Relaxed Tapered Jeans,$59.99,2022-04-06 20:43:18
13310275,Hugo Boss, BOSS Men's Tapered-Fit Italian Jeans,$178.00,2022-04-06 20:43:18
12980588,Lucky Brand, Men's 110 Slim Coolmax Stretch Jeans,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
12636680,Sanctuary, Men's Slim-Fit Jeans,"$129.00
		                                                                                    



Now $43.93",2022-04-06 20:43:18
696847,Levi's, Men's 501® Original Shrink-to-Fit™ Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
13811693,GUESS, Men's Slim Fit Distressed Straight Jeans ,$128.00,2022-04-06 20:43:18
12258717,Levi's, Men's 501 93 Fit Straight Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
11326283,Levi's, Men's 505™ Workwear Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
11319506,Levi's, Men's 511™ Slim All Season Tech Jeans,"$69.50
		                                                                                    


Sale $41.70 
- 48.65",2022-04-06 20:43:18
12592658,GUESS, Men's Slim Straight Jeans,$89.00,2022-04-06 20:43:18
10174941,Seven7, Jeans Men's Slim Straight Cut 5 Pocket Jean,$69.00,2022-04-06 20:43:18
11380185,Lazer, Men's Slim-Fit Stretch Jeans,"$39.50
		                                                                                    



Sale $29.63",2022-04-06 20:43:18
12868162,COTTON ON, Men's Relaxed Tapered Jeans,$49.99,2022-04-06 20:43:18
13432240,Sun + Stone," Men's Relaxed Fit Jeans, Created for Macy's","$60.00
		                                                                                    



Sale $36.00",2022-04-06 20:43:18
12838430,Buffalo David Bitton, Men's Slim Ash Denim Jeans,"$109.00
		                                                                                    



Now $65.40",2022-04-06 20:43:18
10514017,Levi's, Men's XX Tapered Chino Pants,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
10482653,Levi's, Men's 512™ Slim Taper All Seasons Tech Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
2834394,Levi's, Men's 502™ Taper Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
10923877,Levi's, Flex Men's Big & Tall 502™ Taper Jeans,"$79.50
		                                                                                    


Sale $47.70 
- 55.65",2022-04-06 20:43:18
13570514,Buffalo David Bitton, Men's Relaxed Straight Driven Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
10676399,INC International Concepts," Men's Seaton Boot Cut Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
10466013,Sun + Stone," Men's Straight-Fit Knickerbocker Jeans, Created for Macy's","$60.00
		                                                                                    



Sale $36.00",2022-04-06 20:43:18
11783469,Levi's, Men's Tapered Carpenter Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
10903943,INC International Concepts," Men's Slim Straight Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
12089750,Lazer, Men's Slim-Fit Stretch Jean,"$39.50
		                                                                                    



Sale $29.63",2022-04-06 20:43:18
13059574,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
5996799,GUESS, Men's Slim Tapered Fit Stretch Jeans,$128.00,2022-04-06 20:43:18
13570523,Buffalo David Bitton, Men's Sanded Relaxed Straight Driven Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-06 20:43:18
12667948,Tommy Jeans, Men's Parker Patchwork Slim Fit Jeans,"$99.50
		                                                                                    



Now $34.93",2022-04-06 20:43:18
12040112,INC International Concepts," Men's Light Wash Ripped Denim Shorts, Created for Macy's ","$49.50
		                                                                                    



Sale $29.70",2022-04-06 20:43:18
12667947,Tommy Jeans, Men's Cooper Patchwork Slim ,"$99.50
		                                                                                    



Now $34.93",2022-04-06 20:43:18
12622904,Lucky Brand, Men's 110 Slim Coolmax Stretch Jeans,"$99.00
		                                                                                    



Sale $74.25",2022-04-06 20:43:18
10903941,INC International Concepts," Men's Black Wash Skinny Jeans, Created for Macy's ","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
12542941,And Now This, Men's Straight-Fit Stretch Jeans,"$49.50
		                                                                                    



Sale $34.65",2022-04-06 20:43:18
10514016,Levi's, Men's 501 Original-Fit Ripped Jeans,"$79.50
		                                                                                    



Sale $55.65",2022-04-06 20:43:18
13823997,COTTON ON, Men's Super Skinny Jeans,$49.99,2022-04-06 20:43:18
13026415,Polo Ralph Lauren, Men's Varick Slim Straight Jeans,$98.50,2022-04-06 20:43:18
12415663,Levi's, Men's 510 Skinny Eco Performance Jeans,"$69.50
		                                                                                    


Sale $41.70 
- 48.65",2022-04-06 20:43:18
10676402,INC International Concepts," Men's Light wash Skinny Ripped Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $39.99",2022-04-06 20:43:18
